Name,Card Type,Card Sub-Type,Attribute,Monster Type,Class,Level,ATK,DEF,Card Text,Select Your Deck Here,Highest Playability
7,Spell,Continuous,,,,,,,"When there are 3 face-up 7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.""",Select a deck above,Junk
3-Hump Lacooda,Monster,Effect,Earth,Beast,,3,500,1500,"If there are 3 face-up 3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards.""",Select a deck above,Junk
4-Starred Ladybug of Doom,Monster,Effect,Wind,Insect,Flip,3,800,1200,Flip: Destroy all face-up Level 4 monsters on your opponent's side of the field.,Select a deck above,Junk
7 Colored Fish,Monster,Normal,Water,Fish,,4,1800,800,A rare rainbow fish that has never been caught by mortal man,Select a deck above,Junk
7 Completed,Spell,Equip,,,,,,,A Machine-Type monster equipped with this card increases either its Attack or Defense by 700 points. You cannot change your choice as long as this card remains face-up on the Field.,Select a deck above,Junk
8-Claws Scorpion,Monster,Effect,Dark,Insect,,2,300,200,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.",Select a deck above,Junk
A Cat of Ill Omen,Monster,Effect,Dark,Beast,Flip,2,500,300,"FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected Trap Card to your hand instead.",Select a deck above,Junk
A Deal with Dark Ruler,Spell,Quick-Play,,,,,,,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn; Special Summon 1 ""Berserk Dragon"" from your hand or Deck.",Select a deck above,Junk
A Feather of the Phoenix,Spell,Normal,,,,,,,"Discard 1 card, then target 1 card in your Graveyard; return that target to the top of your Deck.",Select a deck above,Optional
A Feint Plan,Trap,Normal,,,,,,,A player cannot attack face-down monsters during this turn.,Select a deck above,Junk
A Hero Emerges,Trap,Normal,,,,,,,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.",Select a deck above,Junk
A Legendary Ocean,Spell,Field,,,,,,,"This card's name is treated as ""Umi"". Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.",Select a deck above,Junk
A Man with Wdjat,Monster,Effect,Dark,Spellcaster,,4,1600,1600,"When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.",Select a deck above,Junk
A Wingbeat of Giant Dragon,Spell,Normal,,,,,,,"Return 1 Level 5 or higher Dragon-Type monster you control to the hand, and if you do, destroy all Spell and Trap Cards on the field.",Select a deck above,Junk
A-Team: Trap Disposal Unit,Monster,Effect,Fire,Machine,,2,300,400,"This effect can be used during either player's turn. When your opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.",Select a deck above,Junk
Abare Ushioni,Monster,Effect,Earth,Beast-Warrior,,4,1200,1200,"Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.",Select a deck above,Junk
Absolute End,Trap,Normal,,,,,,,"Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.",Select a deck above,Junk
Absorbing Kid from the Sky,Monster,Effect,Light,Fairy,,4,1300,1000,"When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.",Select a deck above,Junk
Abyss Soldier,Monster,Effect,Water,Aqua,,4,1800,1300,Once per turn: You can discard 1 WATER monster to the Graveyard to target 1 card on the field; return it to the hand.,Select a deck above,Optional
Abyssal Designator,Spell,Normal,,,,,,,Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the Type and Attribute declared from his/her hand or Deck to the Graveyard.,Select a deck above,Junk
Acid Rain,Trap,Normal,,,,,,,Destroy all face-up Machine-Type monsters on the field.,Select a deck above,Junk
Acid Trap Hole,Trap,Normal,,,,,,,"Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.",Select a deck above,Junk
Acrobat Monkey,Monster,Normal,Earth,Machine,,3,1000,1800,An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.,Select a deck above,Junk
Adhesion Trap Hole,Trap,Normal,,,,,,,When your opponent Summons a monster(s): Halve that monster(s)'s original ATK.,Select a deck above,Junk
After the Struggle (F.K.A. After Genocide),Spell,Normal,,,,,,,This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.,Select a deck above,Junk
Agido,Monster,Effect,Earth,Fairy,,4,1500,1300,"When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can Special Summon 1 Fairy-Type monster from your Graveyard whose Level is equal to the number rolled. (If the result is 6, you can Special Summon a Level 6 or higher monster.)",Select a deck above,Junk
Airknight Parshath,Monster,Effect,Light,Fairy,,5,1900,1400,"If this card attacks a Defense Position monster, inflict piercing battle damage to your opponent. When this card inflicts battle damage to your opponent: Draw 1 card.",Select a deck above,Staple
Aitsu,Monster,Normal,Fire,Fairy,,5,100,100,"He seems to be very unreliable, but he might have incredible potential.",Select a deck above,Junk
Alpha the Magnet Warrior,Monster,Normal,Earth,Rock,,4,1400,1700,"Alpha, Beta, and Gamma meld as one to form a powerful monster.",Select a deck above,Junk
Altar for Tribute,Trap,Normal,,,,,,,Select 1 monster on your side of the field and send it to the Graveyard. Increase your Life Points by an amount equal to the original ATK of the monster.,Select a deck above,Junk
Amazoness Archer (F.K.A. Amazon Archer),Monster,Effect,Earth,Warrior,,4,1400,1000,You can Tribute 2 monsters to inflict 1200 damage to your opponent.,Select a deck above,Junk
Amazoness Archers,Trap,Normal,,,,,,,"Activate only when your opponent declares an attack while you control an ""Amazoness"" monster. All monsters your opponent controls are changed to face-up Attack Position (Flip Effects are not activated), and lose 500 ATK as long as they remain face-up on the field. Your opponent must attack with all of their monsters.",Select a deck above,Junk
Amazoness Blowpiper,Monster,Effect,Earth,Warrior,,3,800,1500,Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.,Select a deck above,Junk
Amazoness Chain Master,Monster,Effect,Earth,Warrior,,4,1500,1300,"When this monster is destroyed by battle and sent to the Graveyard, you can pay 1500 Life Points to look at your opponent's hand, select 1 Monster Card in it, and add that card to your hand.",Select a deck above,Borderline
Amazoness Fighter,Monster,Effect,Earth,Warrior,,4,1500,1300,You take no battle damage from attacks involving this card.,Select a deck above,Junk
Amazoness Paladin,Monster,Effect,Earth,Warrior,,4,1700,300,"This card gains 100 ATK for each ""Amazoness"" monster you control.",Select a deck above,Junk
Amazoness Spellcaster,Spell,Normal,,,,,,,"Target 1 ""Amazoness"" monster you control and 1 face-up monster your opponent controls; switch the original ATK of those targets until the end of this turn.",Select a deck above,Junk
Amazoness Swords Woman,Monster,Effect,Earth,Warrior,,4,1500,1600,Your opponent takes all Battle Damage that you would have taken from a battle involving this card.,Select a deck above,Junk
Amazoness Tiger,Monster,Effect,Earth,Beast,,4,1100,1500,"You can only control 1 ""Amazoness Tiger"". This card gains 400 ATK for each ""Amazoness"" monster you control. Your opponent cannot attack any face-up ""Amazoness"" monsters, except this one.",Select a deck above,Junk
Ameba,Monster,Effect,Water,Aqua,,1,300,350,"When the control of this face-up card on the field shifts to your opponent, inflict 2000 points of damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the field.",Select a deck above,Junk
Amphibian Beast,Monster,Normal,Water,Fish,,6,2400,2000,"On land or in the sea, the speed of this monster is unmatchable.",Select a deck above,Junk
Amphibious Bugroth MK-3,Monster,Effect,Water,Machine,,4,1500,1300,"While ""Umi"" is face-up on the field, this card can attack your opponent's Life Points directly.",Select a deck above,Junk
Amplifier,Spell,Equip,,,,,,,"Equip only to ""Jinzo"". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated.",Select a deck above,Junk
An Owl of Luck,Monster,Effect,Wind,Winged Beast,Flip,2,300,500,"FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected Field Spell Card to your hand instead.",Select a deck above,Junk
Ancient Brain,Monster,Normal,Dark,Fiend,,3,1000,700,A fallen fairy that is powerful in the dark.,Select a deck above,Junk
Ancient Elf,Monster,Normal,Light,Spellcaster,,4,1450,1200,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies.,Select a deck above,Junk
Ancient Gear Beast,Monster,Effect,Earth,Machine,,6,2000,2000,"This card cannot be Special Summoned. The effects of your opponent's Effect Monster that this monster destroys as a result of battle are negated. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step.",Select a deck above,Junk
Ancient Gear Golem,Monster,Effect,Earth,Machine,,8,3000,3000,"Cannot be Special Summoned. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.",Select a deck above,Junk
Ancient Gear Soldier,Monster,Effect,Earth,Machine,,4,1300,1300,"If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step.",Select a deck above,Junk
Ancient Lizard Warrior,Monster,Normal,Earth,Reptile,,4,1400,1100,"Before the dawn of time, this lizard warrior reigned supreme.",Select a deck above,Junk
Ancient One of the Deep Forest,Monster,Normal,Earth,Beast,,6,1800,1900,"This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder.",Select a deck above,Junk
Ancient Telescope,Spell,Normal,,,,,,,See the top 5 cards of your opponent's Deck. Return the cards to the Deck in the same order.,Select a deck above,Junk
Andro Sphinx,Monster,Effect,Light,Beast,,10,3000,2500,"You can pay 500 Life Points to Special Summon this card when ""Pyramid of Light"" is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponents Life Points equal to half the ATK of the destroyed monster.",Select a deck above,Junk
Ansatsu,Monster,Normal,Earth,Warrior,,5,1700,1200,A silent and deadly warrior specializing in assassinations.,Select a deck above,Junk
Ante,Spell,Normal,,,,,,,"Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)",Select a deck above,Junk
Anti Raigeki,Trap,Normal,,,,,,,"When your opponent activates Raigeki"", all of your opponent's monsters are destroyed in place of your own.""",Select a deck above,Junk
Anti-Aircraft Flower,Monster,Effect,Earth,Plant,,3,0,1600,"By tributing 1 Insect-Type monster on your side of the field, inflict 800 points of damage to your opponent's Life Points.",Select a deck above,Junk
Anti-Spell,Trap,Counter,,,,,,,Remove 2 Spell Counters on your side of the field. Negate the activation of a Spell Card and destroy it.,Select a deck above,Junk
Anti-Spell Fragrance,Trap,Continuous,,,,,,,"Both players must Set Spell Cards before activating them, and cannot activate them until their next turn.",Select a deck above,Borderline
Apprentice Magician,Monster,Effect,Dark,Spellcaster,,2,400,800,When this card is Summoned: Target 1 face-up card that you can place a Spell Counter on; place 1 Spell Counter on that target. If this card is destroyed by battle: You can Special Summon 1 Level 2 or lower Spellcaster-Type monster from your Deck in face-down Defense Position.,Select a deck above,Optional
Appropriate,Trap,Continuous,,,,,,,"Activate only when your opponent draws a card(s), except during their Draw Phase. Draw 2 cards.",Select a deck above,Junk
Aqua Chorus,Trap,Continuous,,,,,,,"If there are monsters with the same name on the field, increase the ATK and DEF of all of those monsters with the same name by 500 points.",Select a deck above,Junk
Aqua Madoor,Monster,Normal,Water,Spellcaster,,4,1200,2000,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,Select a deck above,Junk
Aqua Spirit,Monster,Effect,Water,Aqua,,4,1600,1200,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing 1 WATER monster in your Graveyard from play. During each of your opponent's Standby Phases, you can change the battle position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn.",Select a deck above,Junk
Arcane Archer of the Forest,Monster,Effect,Earth,Warrior,,3,900,1400,"While there is a Plant-Type monster on your side of the field, this card cannot be attacked. By Tributing 1 Plant-Type monster on your side of the field, destroy 1 Spell or Trap Card on the field.",Select a deck above,Junk
Archfiend Marmot of Nefariousness,Monster,Normal,Earth,Beast,,2,400,600,An air marmot that has a nefarious horna dnwings. It attacks by throwing acorns.,Select a deck above,Junk
Archfiend of Gilfer,Monster,Effect,Dark,Fiend,,6,2200,2500,When this card is sent to the Graveyard: You can target 1 face-up monster on the field; equip that target with this card. That monster loses 500 ATK while equipped with this card.,Select a deck above,Junk
Archfiend Soldier,Monster,Normal,Dark,Fiend,,4,1900,1500,An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the job done.,Select a deck above,Junk
Archfiend's Oath,Spell,Continuous,,,,,,,"Once per turn you can pay 500 Life Points to declare 1 card name. Pick up the top card from your Deck and if the card name is the one you declared, add it to your hand. If not, send the card you picked up to the Graveard.",Select a deck above,Junk
Archfiend's Roar,Trap,Normal,,,,,,,Pay 500 Life Points to activate this card. Special Summon 1 Archfiend Monster Card from your Graveyard. This monster cannot be Tributed under any conditions and is destroyed during the End Phase of this turn.,Select a deck above,Junk
Archlord Zerato,Monster,Effect,Light,Fairy,,8,2800,2300,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up Warrior of Zera"" on your side of the field while ""The Sanctuary in the Sky"" is on the field. If ""The Sanctuary in the Sky"" is on your side of the field, by discarding 1 LIGHT Monster Card from your hand to the Graveyard, destroy all monsters on your opponent's side of the field. If ""The Sanctuary in the Sky"" is not on your side of the field, this effect is not applied.""",Select a deck above,Junk
Armaill,Monster,Normal,Earth,Warrior,,3,700,1300,A strange warrior who manipulates three deadly blades with both hands and his tail.,Select a deck above,Junk
Armed Dragon LV3,Monster,Effect,Wind,Dragon,,3,1200,900,"During your Standby Phase, you can send this face-up card from the field to the Graveyard to Special Summon 1 ""Armed Dragon LV5"" from your hand or Deck.",Select a deck above,Junk
Armed Dragon LV5,Monster,Effect,Wind,Dragon,,5,2400,1700,"You can send 1 monster from your hand to the Graveyard to select 1 face-up monster your opponent controls with ATK less than or equal to the ATK of the sent monster, and destroy the selected monster. During the End Phase of the turn this card destroys a monster by battle, you can send this face-up card from the field to the Graveyard to Special Summon 1 ""Armed Dragon LV7"" from your hand or Deck.",Select a deck above,Junk
Armed Dragon LV7,Monster,Effect,Wind,Dragon,,7,2800,1000,"Cannot be Normal Summoned/Set. Must be Special Summoned by ""Armed Dragon LV5"", and cannot be Special Summoned by other ways. You can send 1 monster from your hand to the Graveyard: destroy all face-up monsters your opponent controls with ATK less than or equal to the sent monster's ATK.",Select a deck above,Junk
Armed Ninja,Monster,Effect,Earth,Warrior,Flip,1,300,300,"Flip: Select 1 Spell Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Spell Card, it is destroyed. If it is a Trap Card, return it to its original position.",Select a deck above,Junk
Armed Samurai - Ben Kei,Monster,Effect,Dark,Warrior,,4,500,800,"For each Equip Card equipped to this card, it gains 1 additional attack during each Battle Phase.",Select a deck above,Junk
Armor Break,Trap,Counter,,,,,,,Negate the activation of an Equip Spell card and destroy it.,Select a deck above,Junk
Armor Exe,Monster,Effect,Light,Rock,,4,2400,1400,"This card cannot attack in the same turn it is Normal Summoned, Flip Summoned, or Special Summoned. During each of your and your opponent's Standby Phases, remove 1 Spell Counter on your side of the field. If you do not, destroy this card.",Select a deck above,Junk
Armored Glass,Trap,Normal,,,,,,,You can activate this card when a monster is equpped with an Equip Magic Card. Negate the effects of all Equip Magic Cards on the field during the turn this card is activated.,Select a deck above,Junk
Armored Lizard,Monster,Normal,Earth,Reptile,,4,1500,1200,A lizard with a very tough hide and a vicious bite.,Select a deck above,Junk
Armored Starfish,Monster,Normal,Water,Aqua,,4,850,1400,A bluish starfish with a solid hide capable of fending off attacks.,Select a deck above,Junk
Armored Zombie,Monster,Normal,Dark,Zombie,,3,1500,0,This warrior blindly swings a deadly blade with devastating force.,Select a deck above,Junk
Array of Revealing Light,Spell,Normal,,,,,,,"Declare 1 Type of monster. Any monster of the declared Type cannot declare an attack during the turn it is Normal Summoned, Flip Summoned or Special Summoned.",Select a deck above,Junk
Arsenal Bug,Monster,Effect,Earth,Insect,,3,2000,2000,"If there are no face-up Insect-Type monsters (except this monster) on your side of the field, both the ATK and DEF of this monster become 1000 points.",Select a deck above,Junk
Arsenal Robber,Trap,Normal,,,,,,,Your opponent selects 1 Equip Spell Card from his/her Deck and sends it to the Graveyard.,Select a deck above,Junk
